Instance,StratType,Token1,Token2,Token3,SingleOrderLot,MaxPositionLot,Spread,Reserved1,Reserved2,Reserved3,Reserved4,Reserved5,Reserved6,Reserved7,Reserved8,SymbolName,StrikePrice,Expiry
3,1,49073,45091,45088,1,500,2,0,0,0,0,0,0,0,0,SBIN,13500,CURRENT_MONTH
3,2,49073,45091,45088,1,500,2,0,0,0,0,0,0,0,0,SBIN,13500,CURRENT_MONTH
3,1,49073,44230,44229,1,500,2,0,0,0,0,0,0,0,0,SBIN,14000,CURRENT_MONTH
3,2,49073,44230,44229,1,500,2,0,0,0,0,0,0,0,0,SBIN,14000,CURRENT_MONTH
3,1,49073,36754,36753,1,500,2,0,0,0,0,0,0,0,0,SBIN,14500,CURRENT_MONTH
3,2,49073,36754,36753,1,500,2,0,0,0,0,0,0,0,0,SBIN,14500,CURRENT_MONTH
3,1,49073,96859,96858,1,500,2,0,0,0,0,0,0,0,0,SBIN,15000,CURRENT_MONTH
3,2,49073,96859,96858,1,500,2,0,0,0,0,0,0,0,0,SBIN,15000,CURRENT_MONTH
3,1,49073,96861,96860,1,500,2,0,0,0,0,0,0,0,0,SBIN,15500,CURRENT_MONTH
3,2,49073,96861,96860,1,500,2,0,0,0,0,0,0,0,0,SBIN,15500,CURRENT_MONTH
3,1,49073,96863,96862,1,500,2,0,0,0,0,0,0,0,0,SBIN,16000,CURRENT_MONTH
3,2,49073,96863,96862,1,500,2,0,0,0,0,0,0,0,0,SBIN,16000,CURRENT_MONTH
3,1,49073,96865,96864,1,500,2,0,0,0,0,0,0,0,0,SBIN,16500,CURRENT_MONTH
3,2,49073,96865,96864,1,500,2,0,0,0,0,0,0,0,0,SBIN,16500,CURRENT_MONTH
3,1,49073,96867,96866,1,500,2,0,0,0,0,0,0,0,0,SBIN,17000,CURRENT_MONTH
3,2,49073,96867,96866,1,500,2,0,0,0,0,0,0,0,0,SBIN,17000,CURRENT_MONTH
3,1,49073,96869,96868,1,500,2,0,0,0,0,0,0,0,0,SBIN,17500,CURRENT_MONTH
3,2,49073,96869,96868,1,500,2,0,0,0,0,0,0,0,0,SBIN,17500,CURRENT_MONTH
3,1,49073,96871,96870,1,500,2,0,0,0,0,0,0,0,0,SBIN,18000,CURRENT_MONTH
3,2,49073,96871,96870,1,500,2,0,0,0,0,0,0,0,0,SBIN,18000,CURRENT_MONTH
3,1,49073,96882,96881,1,500,2,0,0,0,0,0,0,0,0,SBIN,18500,CURRENT_MONTH
3,2,49073,96882,96881,1,500,2,0,0,0,0,0,0,0,0,SBIN,18500,CURRENT_MONTH
3,1,49073,96884,96883,1,500,2,0,0,0,0,0,0,0,0,SBIN,19000,CURRENT_MONTH
3,2,49073,96884,96883,1,500,2,0,0,0,0,0,0,0,0,SBIN,19000,CURRENT_MONTH
3,1,49073,96886,96885,1,500,2,0,0,0,0,0,0,0,0,SBIN,19500,CURRENT_MONTH
3,2,49073,96886,96885,1,500,2,0,0,0,0,0,0,0,0,SBIN,19500,CURRENT_MONTH
3,1,49073,96888,96887,1,500,2,0,0,0,0,0,0,0,0,SBIN,20000,CURRENT_MONTH
3,2,49073,96888,96887,1,500,2,0,0,0,0,0,0,0,0,SBIN,20000,CURRENT_MONTH
3,1,49073,96890,96889,1,500,2,0,0,0,0,0,0,0,0,SBIN,20500,CURRENT_MONTH
3,2,49073,96890,96889,1,500,2,0,0,0,0,0,0,0,0,SBIN,20500,CURRENT_MONTH
3,1,49073,96892,96891,1,500,2,0,0,0,0,0,0,0,0,SBIN,21000,CURRENT_MONTH
3,2,49073,96892,96891,1,500,2,0,0,0,0,0,0,0,0,SBIN,21000,CURRENT_MONTH
3,1,49073,96894,96893,1,500,2,0,0,0,0,0,0,0,0,SBIN,21500,CURRENT_MONTH
3,2,49073,96894,96893,1,500,2,0,0,0,0,0,0,0,0,SBIN,21500,CURRENT_MONTH
3,1,49073,96896,96895,1,500,2,0,0,0,0,0,0,0,0,SBIN,22000,CURRENT_MONTH
3,2,49073,96896,96895,1,500,2,0,0,0,0,0,0,0,0,SBIN,22000,CURRENT_MONTH
3,1,49073,96898,96897,1,500,2,0,0,0,0,0,0,0,0,SBIN,22500,CURRENT_MONTH
3,2,49073,96898,96897,1,500,2,0,0,0,0,0,0,0,0,SBIN,22500,CURRENT_MONTH
3,1,49073,96900,96899,1,500,2,0,0,0,0,0,0,0,0,SBIN,23000,CURRENT_MONTH
3,2,49073,96900,96899,1,500,2,0,0,0,0,0,0,0,0,SBIN,23000,CURRENT_MONTH
3,1,49073,96902,96901,1,500,2,0,0,0,0,0,0,0,0,SBIN,23500,CURRENT_MONTH
3,2,49073,96902,96901,1,500,2,0,0,0,0,0,0,0,0,SBIN,23500,CURRENT_MONTH
3,1,49073,96904,96903,1,500,2,0,0,0,0,0,0,0,0,SBIN,24000,CURRENT_MONTH
3,2,49073,96904,96903,1,500,2,0,0,0,0,0,0,0,0,SBIN,24000,CURRENT_MONTH
3,1,49073,96906,96905,1,500,2,0,0,0,0,0,0,0,0,SBIN,24500,CURRENT_MONTH
3,2,49073,96906,96905,1,500,2,0,0,0,0,0,0,0,0,SBIN,24500,CURRENT_MONTH
3,1,49073,96908,96907,1,500,2,0,0,0,0,0,0,0,0,SBIN,25000,CURRENT_MONTH
3,2,49073,96908,96907,1,500,2,0,0,0,0,0,0,0,0,SBIN,25000,CURRENT_MONTH
3,1,49073,96910,96909,1,500,2,0,0,0,0,0,0,0,0,SBIN,25500,CURRENT_MONTH
3,2,49073,96910,96909,1,500,2,0,0,0,0,0,0,0,0,SBIN,25500,CURRENT_MONTH
3,1,49073,96952,96911,1,500,2,0,0,0,0,0,0,0,0,SBIN,26000,CURRENT_MONTH
3,2,49073,96952,96911,1,500,2,0,0,0,0,0,0,0,0,SBIN,26000,CURRENT_MONTH
3,1,49073,96954,96953,1,500,2,0,0,0,0,0,0,0,0,SBIN,26500,CURRENT_MONTH
3,2,49073,96954,96953,1,500,2,0,0,0,0,0,0,0,0,SBIN,26500,CURRENT_MONTH
3,1,49073,96956,96955,1,500,2,0,0,0,0,0,0,0,0,SBIN,27000,CURRENT_MONTH
3,2,49073,96956,96955,1,500,2,0,0,0,0,0,0,0,0,SBIN,27000,CURRENT_MONTH
3,1,49073,96958,96957,1,500,2,0,0,0,0,0,0,0,0,SBIN,27500,CURRENT_MONTH
3,2,49073,96958,96957,1,500,2,0,0,0,0,0,0,0,0,SBIN,27500,CURRENT_MONTH
3,1,49073,96960,96959,1,500,2,0,0,0,0,0,0,0,0,SBIN,28000,CURRENT_MONTH
3,2,49073,96960,96959,1,500,2,0,0,0,0,0,0,0,0,SBIN,28000,CURRENT_MONTH
3,1,49073,96962,96961,1,500,2,0,0,0,0,0,0,0,0,SBIN,28500,CURRENT_MONTH
3,2,49073,96962,96961,1,500,2,0,0,0,0,0,0,0,0,SBIN,28500,CURRENT_MONTH
3,1,49073,96964,96963,1,500,2,0,0,0,0,0,0,0,0,SBIN,29000,CURRENT_MONTH
3,2,49073,96964,96963,1,500,2,0,0,0,0,0,0,0,0,SBIN,29000,CURRENT_MONTH
3,1,49073,96966,96965,1,500,2,0,0,0,0,0,0,0,0,SBIN,29500,CURRENT_MONTH
3,2,49073,96966,96965,1,500,2,0,0,0,0,0,0,0,0,SBIN,29500,CURRENT_MONTH
3,1,49073,96968,96967,1,500,2,0,0,0,0,0,0,0,0,SBIN,30000,CURRENT_MONTH
3,2,49073,96968,96967,1,500,2,0,0,0,0,0,0,0,0,SBIN,30000,CURRENT_MONTH
3,1,49073,96970,96969,1,500,2,0,0,0,0,0,0,0,0,SBIN,30500,CURRENT_MONTH
3,2,49073,96970,96969,1,500,2,0,0,0,0,0,0,0,0,SBIN,30500,CURRENT_MONTH
3,1,49073,96972,96971,1,500,2,0,0,0,0,0,0,0,0,SBIN,31000,CURRENT_MONTH
3,2,49073,96972,96971,1,500,2,0,0,0,0,0,0,0,0,SBIN,31000,CURRENT_MONTH
3,1,49073,96974,96973,1,500,2,0,0,0,0,0,0,0,0,SBIN,31500,CURRENT_MONTH
3,2,49073,96974,96973,1,500,2,0,0,0,0,0,0,0,0,SBIN,31500,CURRENT_MONTH
3,1,49073,96976,96975,1,500,2,0,0,0,0,0,0,0,0,SBIN,32000,CURRENT_MONTH
3,2,49073,96976,96975,1,500,2,0,0,0,0,0,0,0,0,SBIN,32000,CURRENT_MONTH
3,1,49073,96978,96977,1,500,2,0,0,0,0,0,0,0,0,SBIN,32500,CURRENT_MONTH
3,2,49073,96978,96977,1,500,2,0,0,0,0,0,0,0,0,SBIN,32500,CURRENT_MONTH
3,1,49073,96980,96979,1,500,2,0,0,0,0,0,0,0,0,SBIN,33000,CURRENT_MONTH
3,2,49073,96980,96979,1,500,2,0,0,0,0,0,0,0,0,SBIN,33000,CURRENT_MONTH
3,1,49073,96982,96981,1,500,2,0,0,0,0,0,0,0,0,SBIN,33500,CURRENT_MONTH
