Instance,StrategyType,Call1,Put2,Call2,Put1,SingleOrderLot,MaxPositionLot,Spread,Reserved1,Reserved2,Reserved3,Reserved4,Reserved5,Reserved6,Reserved7,Reserved8,SymbolName,StrikePrice,Expiry
1,9,47316,52489,52488,47317,1,1,-1,0,0,-1,0,0,0,0,0,NIFTY,,
1,10,47316,52489,52488,47317,1,1,2,0,0,2,0,0,0,0,0,NIFTY,,
1,9,47316,52579,52578,47317,1,1,-1,0,0,-1,0,0,0,0,0,NIFTY,,
1,10,47316,52579,52578,47317,1,1,2,0,0,2,0,0,0,0,0,NIFTY,,
1,9,47316,52704,52703,47317,1,1,-1,0,0,-1,0,0,0,0,0,NIFTY,,
1,10,47316,52704,52703,47317,1,1,2,0,0,2,0,0,0,0,0,NIFTY,,
1,9,47316,52733,52732,47317,1,1,-1,0,0,-1,0,0,0,0,0,NIFTY,,
1,10,47316,52733,52732,47317,1,1,2,0,0,2,0,0,0,0,0,NIFTY,,
1,9,47316,52762,52746,47317,1,1,-1,0,0,-1,0,0,0,0,0,NIFTY,,
1,10,47316,52762,52746,47317,1,1,2,0,0,2,0,0,0,0,0,NIFTY,,
1,9,47316,52821,52773,47317,1,1,-1,0,0,-1,0,0,0,0,0,NIFTY,,
1,10,47316,52821,52773,47317,1,1,2,0,0,2,0,0,0,0,0,NIFTY,,
1,9,46140,52489,52488,46141,1,1,-1,0,0,-1,0,0,0,0,0,NIFTY,,
1,10,46140,52489,52488,46141,1,1,2,0,0,2,0,0,0,0,0,NIFTY,,
1,9,46140,52579,52578,46141,1,1,-1,0,0,-1,0,0,0,0,0,NIFTY,,
1,10,46140,52579,52578,46141,1,1,2,0,0,2,0,0,0,0,0,NIFTY,,
1,9,46140,52704,52703,46141,1,1,-1,0,0,-1,0,0,0,0,0,NIFTY,,
1,10,46140,52704,52703,46141,1,1,2,0,0,2,0,0,0,0,0,NIFTY,,
1,9,46140,52733,52732,46141,1,1,-1,0,0,-1,0,0,0,0,0,NIFTY,,
1,10,46140,52733,52732,46141,1,1,2,0,0,2,0,0,0,0,0,NIFTY,,
1,9,46140,52762,52746,46141,1,1,-1,0,0,-1,0,0,0,0,0,NIFTY,,
1,10,46140,52762,52746,46141,1,1,2,0,0,2,0,0,0,0,0,NIFTY,,
1,9,46140,52821,52773,46141,1,1,-1,0,0,-1,0,0,0,0,0,NIFTY,,
1,10,46140,52821,52773,46141,1,1,2,0,0,2,0,0,0,0,0,NIFTY,,
1,9,37922,52489,52488,37932,1,1,-1,0,0,-1,0,0,0,0,0,NIFTY,,
1,10,37922,52489,52488,37932,1,1,2,0,0,2,0,0,0,0,0,NIFTY,,
1,9,37922,52579,52578,37932,1,1,-1,0,0,-1,0,0,0,0,0,NIFTY,,
1,10,37922,52579,52578,37932,1,1,2,0,0,2,0,0,0,0,0,NIFTY,,
1,9,37922,52704,52703,37932,1,1,-1,0,0,-1,0,0,0,0,0,NIFTY,,
1,10,37922,52704,52703,37932,1,1,2,0,0,2,0,0,0,0,0,NIFTY,,
1,9,37922,52733,52732,37932,1,1,-1,0,0,-1,0,0,0,0,0,NIFTY,,
1,10,37922,52733,52732,37932,1,1,2,0,0,2,0,0,0,0,0,NIFTY,,
1,9,37922,52762,52746,37932,1,1,-1,0,0,-1,0,0,0,0,0,NIFTY,,
1,10,37922,52762,52746,37932,1,1,2,0,0,2,0,0,0,0,0,NIFTY,,
1,9,37922,52821,52773,37932,1,1,-1,0,0,-1,0,0,0,0,0,NIFTY,,
1,10,37922,52821,52773,37932,1,1,2,0,0,2,0,0,0,0,0,NIFTY,,
1,9,41364,52489,52488,41451,1,1,-1,0,0,-1,0,0,0,0,0,NIFTY,,
1,10,41364,52489,52488,41451,1,1,2,0,0,2,0,0,0,0,0,NIFTY,,
1,9,41364,52579,52578,41451,1,1,-1,0,0,-1,0,0,0,0,0,NIFTY,,
1,10,41364,52579,52578,41451,1,1,2,0,0,2,0,0,0,0,0,NIFTY,,
1,9,41364,52704,52703,41451,1,1,-1,0,0,-1,0,0,0,0,0,NIFTY,,
1,10,41364,52704,52703,41451,1,1,2,0,0,2,0,0,0,0,0,NIFTY,,
1,9,41364,52733,52732,41451,1,1,-1,0,0,-1,0,0,0,0,0,NIFTY,,
1,10,41364,52733,52732,41451,1,1,2,0,0,2,0,0,0,0,0,NIFTY,,
1,9,41364,52762,52746,41451,1,1,-1,0,0,-1,0,0,0,0,0,NIFTY,,
1,10,41364,52762,52746,41451,1,1,2,0,0,2,0,0,0,0,0,NIFTY,,
1,9,41364,52821,52773,41451,1,1,-1,0,0,-1,0,0,0,0,0,NIFTY,,
1,10,41364,52821,52773,41451,1,1,2,0,0,2,0,0,0,0,0,NIFTY,,
1,9,39898,52489,52488,39899,1,1,-1,0,0,-1,0,0,0,0,0,NIFTY,,
1,10,39898,52489,52488,39899,1,1,2,0,0,2,0,0,0,0,0,NIFTY,,
1,9,39898,52579,52578,39899,1,1,-1,0,0,-1,0,0,0,0,0,NIFTY,,
1,10,39898,52579,52578,39899,1,1,2,0,0,2,0,0,0,0,0,NIFTY,,
1,9,39898,52704,52703,39899,1,1,-1,0,0,-1,0,0,0,0,0,NIFTY,,
1,10,39898,52704,52703,39899,1,1,2,0,0,2,0,0,0,0,0,NIFTY,,
1,9,39898,52733,52732,39899,1,1,-1,0,0,-1,0,0,0,0,0,NIFTY,,
1,10,39898,52733,52732,39899,1,1,2,0,0,2,0,0,0,0,0,NIFTY,,
1,9,39898,52762,52746,39899,1,1,-1,0,0,-1,0,0,0,0,0,NIFTY,,
1,10,39898,52762,52746,39899,1,1,2,0,0,2,0,0,0,0,0,NIFTY,,
1,9,39898,52821,52773,39899,1,1,-1,0,0,-1,0,0,0,0,0,NIFTY,,
1,10,39898,52821,52773,39899,1,1,2,0,0,2,0,0,0,0,0,NIFTY,,
1,9,52026,52489,52488,52036,1,1,-1,0,0,-1,0,0,0,0,0,NIFTY,,
1,10,52026,52489,52488,52036,1,1,2,0,0,2,0,0,0,0,0,NIFTY,,
1,9,52026,52579,52578,52036,1,1,-1,0,0,-1,0,0,0,0,0,NIFTY,,
1,10,52026,52579,52578,52036,1,1,2,0,0,2,0,0,0,0,0,NIFTY,,
1,9,52026,52704,52703,52036,1,1,-1,0,0,-1,0,0,0,0,0,NIFTY,,
1,10,52026,52704,52703,52036,1,1,2,0,0,2,0,0,0,0,0,NIFTY,,
1,9,52026,52733,52732,52036,1,1,-1,0,0,-1,0,0,0,0,0,NIFTY,,
1,10,52026,52733,52732,52036,1,1,2,0,0,2,0,0,0,0,0,NIFTY,,
1,9,52026,52762,52746,52036,1,1,-1,0,0,-1,0,0,0,0,0,NIFTY,,
1,10,52026,52762,52746,52036,1,1,2,0,0,2,0,0,0,0,0,NIFTY,,
1,9,52026,52821,52773,52036,1,1,-1,0,0,-1,0,0,0,0,0,NIFTY,,
1,10,52026,52821,52773,52036,1,1,2,0,0,2,0,0,0,0,0,NIFTY,,
1,11,52489,47308,47309,52488,1,1,-1,0,0,-1,0,0,0,0,0,NIFTY,,
