Instance,StratType,Token1,Token2,Token3,SingleOrderLot,MaxPositionLot,TokenWiseSpread,Reserved1,Reserved2,Reserved3,Reserved4,Reserved5,Reserved6,Reserved7,Reserved8,PortName
1,1,39666,49746,49745,1,1,2,0,0,0,0,0,0,0,0,BANKNIFTY18JUN-25300 (C)
1,2,39666,49746,49745,1,1,2,0,0,0,0,0,0,0,0,BANKNIFTY18JUN-25300 (R)
1,1,39666,49750,49749,1,1,2,0,0,0,0,0,0,0,0,BANKNIFTY18JUN-25400 (C)
1,2,39666,49750,49749,1,1,2,0,0,0,0,0,0,0,0,BANKNIFTY18JUN-25400 (R)
1,1,39666,49752,49751,1,1,2,0,0,0,0,0,0,0,0,BANKNIFTY18JUN-25500 (C)
1,2,39666,49752,49751,1,1,2,0,0,0,0,0,0,0,0,BANKNIFTY18JUN-25500 (R)
1,1,39666,49754,49753,1,1,2,0,0,0,0,0,0,0,0,BANKNIFTY18JUN-25600 (C)
1,2,39666,49754,49753,1,1,2,0,0,0,0,0,0,0,0,BANKNIFTY18JUN-25600 (R)
1,1,39666,49760,49755,1,1,2,0,0,0,0,0,0,0,0,BANKNIFTY18JUN-25700 (C)
1,2,39666,49760,49755,1,1,2,0,0,0,0,0,0,0,0,BANKNIFTY18JUN-25700 (R)
1,1,39666,49762,49761,1,1,2,0,0,0,0,0,0,0,0,BANKNIFTY18JUN-25800 (C)
1,2,39666,49762,49761,1,1,2,0,0,0,0,0,0,0,0,BANKNIFTY18JUN-25800 (R)
1,1,39666,49764,49763,1,1,2,0,0,0,0,0,0,0,0,BANKNIFTY18JUN-25900 (C)
1,2,39666,49764,49763,1,1,2,0,0,0,0,0,0,0,0,BANKNIFTY18JUN-25900 (R)
1,1,39666,36996,36993,1,1,2,0,0,0,0,0,0,0,0,BANKNIFTY18JUN-26000 (C)
1,2,39666,36996,36993,1,1,2,0,0,0,0,0,0,0,0,BANKNIFTY18JUN-26000 (R)
1,1,39666,36998,36997,1,1,2,0,0,0,0,0,0,0,0,BANKNIFTY18JUN-26100 (C)
1,2,39666,36998,36997,1,1,2,0,0,0,0,0,0,0,0,BANKNIFTY18JUN-26100 (R)
1,1,39666,38651,38650,1,1,2,0,0,0,0,0,0,0,0,BANKNIFTY18JUN-26200 (C)
1,2,39666,38651,38650,1,1,2,0,0,0,0,0,0,0,0,BANKNIFTY18JUN-26200 (R)
1,1,39666,38661,38658,1,1,2,0,0,0,0,0,0,0,0,BANKNIFTY18JUN-26300 (C)
1,2,39666,38661,38658,1,1,2,0,0,0,0,0,0,0,0,BANKNIFTY18JUN-26300 (R)
1,1,39666,38663,38662,1,1,2,0,0,0,0,0,0,0,0,BANKNIFTY18JUN-26400 (C)
1,2,39666,38663,38662,1,1,2,0,0,0,0,0,0,0,0,BANKNIFTY18JUN-26400 (R)
1,1,39666,35088,35070,1,1,2,0,0,0,0,0,0,0,0,BANKNIFTY18JUN-26500 (C)
1,2,39666,35088,35070,1,1,2,0,0,0,0,0,0,0,0,BANKNIFTY18JUN-26500 (R)
1,1,39666,39398,39386,1,1,2,0,0,0,0,0,0,0,0,BANKNIFTY18JUN-26600 (C)
1,2,39666,39398,39386,1,1,2,0,0,0,0,0,0,0,0,BANKNIFTY18JUN-26600 (R)
1,1,39666,39407,39399,1,1,2,0,0,0,0,0,0,0,0,BANKNIFTY18JUN-26700 (C)
1,2,39666,39407,39399,1,1,2,0,0,0,0,0,0,0,0,BANKNIFTY18JUN-26700 (R)
1,1,39666,40180,40177,1,1,2,0,0,0,0,0,0,0,0,BANKNIFTY18JUN-26800 (C)
1,2,39666,40180,40177,1,1,2,0,0,0,0,0,0,0,0,BANKNIFTY18JUN-26800 (R)
1,1,39666,41797,41779,1,1,2,0,0,0,0,0,0,0,0,BANKNIFTY18JUN-26900 (C)
1,2,39666,41797,41779,1,1,2,0,0,0,0,0,0,0,0,BANKNIFTY18JUN-26900 (R)
1,1,39666,35201,35200,1,1,2,0,0,0,0,0,0,0,0,BANKNIFTY18JUN-27000 (C)
1,2,39666,35201,35200,1,1,2,0,0,0,0,0,0,0,0,BANKNIFTY18JUN-27000 (R)
1,1,39666,36395,36394,1,1,2,0,0,0,0,0,0,0,0,BANKNIFTY18JUN-27100 (C)
1,2,39666,36395,36394,1,1,2,0,0,0,0,0,0,0,0,BANKNIFTY18JUN-27100 (R)
1,1,39666,37249,37248,1,1,2,0,0,0,0,0,0,0,0,BANKNIFTY18JUN-27200 (C)
1,2,39666,37249,37248,1,1,2,0,0,0,0,0,0,0,0,BANKNIFTY18JUN-27200 (R)
1,1,39666,39121,39120,1,1,2,0,0,0,0,0,0,0,0,BANKNIFTY18JUN-27300 (C)
1,2,39666,39121,39120,1,1,2,0,0,0,0,0,0,0,0,BANKNIFTY18JUN-27300 (R)
1,1,39666,39124,39123,1,1,2,0,0,0,0,0,0,0,0,BANKNIFTY18JUN-27400 (C)
